GroupName,grouped_text
"August 16, 2001 Employee Meeting","In an August 16, 2001 meeting, Lay made false and misleading statements to his own employees, fully aware that they were heavily invested in Enron stock, including in Enron's 401K plan.  Lay stated: ""Enron Energy Services just keeps banging away and just keeps growing at a tremendous rate . . . almost a doubling from second quarter last year to this year.  And we've been kind of doing that systematically over the last four years . . . tremendous growth.  Of course, revenue is growing.  But a very, very solid business."""
"August 20, 2001 Interview","Despite his knowledge of substantial problems at Enron, Lay made the following false and misleading statements in an August 20, 2001 interview with Business Week Online: (a) ""There are no accounting issues, no trading issues, no reserve issues, no previously unknown problem issues,"" and (b) ""There is no other shoe to fall . . . The company is probably in the strongest and best shape that it has even been in.  There are no surprises.  We did file our 10-Q a few days ago.  And if there were any serious problems, they would be in there.""  Lay also revealed his awareness of the legal implications of his conduct: ""If there's anything material and we're not reporting it, we'd be breaking the law."" "
"Lay Learns Of Additional Problems, August-September 2001","Lay became aware of additional negative information about Enron during the last two weeks of August 2001 and the first week of September 2001.  In this time period, Lay was briefed by numerous Enron employees on Enron's mounting and undisclosed financial and operational problems, including overvaluation of Enron's assets and business units by billions of dollars. As a result of Enron's deteriorating financial condition, Lay, Causey, and others privately considered a range of potential solutions, including mergers, restructurings, and even divestment of Enron's pipelines, assets that Lay considered to be the crown jewels of the company. On or about August 23 and 28, 2001, Lay, Causey, and others participated in Management Committee meetings where reports were presented showing earnings shortfalls in virtually every Enron business unit, totaling approximately $1 billion.  On September 6 and 7, 2001, Enron's Management Committee, including Lay and Causey, attended a retreat at The Woodlands resort near Houston, Texas.  They discussed serious problems at Enron, including underperforming business units and troubled assets.  Among other things, Lay, Causey, and others were involved in discussions regarding the need to take at least a $1 billion charge in the third quarter of 2001 and that Enron had committed an accounting error in the amount of $1.2 billion. Throughout September 2001, Lay, Causey, and other Enron executives engaged in a series of high-level meetings to discuss the growing undisclosed financial crisis at Enron and the likely impact on Enron's credit rating and stock price.  Lay, Causey, and others learned that the total amount of losses attributable to Enron's assets and business units was at least $7 billion. Also at this time, Lay, Causey, and others learned that Enron's outside auditors changed its previous position regarding the accounting treatment of the Raptors.  Enron's auditors determined that Enron's treatment of the Raptors violated clear accounting rules.  Lay, Causey, and others were then faced with the prospect of restating Enron's earnings and admitting the error."
"September 26, 2001 Employee Forum","Lay participated in an Enron employee on-line forum on September 26, 2001 and made the following false and misleading statements, including: (a) ""[t]he third quarter is looking great.  We will hit our numbers.  We are continuing to have strong growth in our businesses, and at this time I think we're positioned for a very strong fourth quarter,"" (b) ""we have record operating and financial results,"" and (c) ""the balance sheet is strong."" Lay also made false and misleading statements to his employees about his trading in Enron stock.  Despite the fact that during the prior two months he had made net sales of over $20 million in Enron stock to Enron, sales that he knew his employees did not know about, Lay falsely and misleadingly stated: ""I have strongly encouraged our 16B officers to buy additional Enron stock.  Some, including myself, have done so over the last couple of months and others will probably do so in the future . . . My personal belief is that Enron stock is an incredible bargain at current prices."""
"October 12, 2001 Call To Credit Rating Agency","On or about October 12, 2001, Lay made false and misleading statements to a representative of a prominent credit rating agency in a telephone call.  Among other things, Lay stated that Enron and its auditors had ""scrubbed"" the company's books and that no additional write-downs would be forthcoming.  In fact, as Lay knew, Enron's international assets were being carried on Enron's books for billions of dollars in excess of their fair value.  Lay also knew that he and other Enron employees had failed to disclose and would not report the $700 million Wessex goodwill impairment, and had falsely claimed to others, including Andersen, that Enron would pursue a growth strategy in the water business.  In addition, as Lay knew, Enron's auditors had not completed their work regarding asset valuations or goodwill and had not yet provided a final opinion regarding the necessity of additional write-downs."
"Third Quarter 2001 Earnings Release - October 16, 2001","By October 2001, Lay knew, among other things, that: (a) Enron had incorrectly accounted for the Raptor transactions, and that due to the massive accounting error, shareholders' equity needed to be reduced by $1.2 billion; (b) the Raptors were being terminated and, combined with other write-downs, this would result in an earnings charge of $1.01 billion; and (c) these two items were unrelated, and the $1.2 billion reduction to shareholders' equity was required, whether or not the Raptors were terminated.  Despite this knowledge, Lay made false and misleading statements about these items. On October 16, 2001, Enron issued an earnings release, reviewed and approved by Lay, that reported a ""non-recurring"" earnings charge of $1.01 billion, a majority of the charge relating to the unwind of certain vehicles.  Lay did not disclose that the vehicles at issue were the Raptors.  Lay knew that the characterization of the termination of the vehicles as ""nonrecurring"" losses, that is, a one-time or unusual earnings event, was erroneous and inconsistent with Enron's past treatment of Raptor earnings as recurring operating earnings.  Lay and others knowingly omitted any reference to the separate $1.2 billion equity reduction in the press release. Enron had a conference call with analysts on October 16, 2001 to discuss the earnings release.  Lay, Causey, and others prepared for and participated in the call.  Lay made false and misleading statements in the call.  Lay again falsely described the hundreds of millions of dollars in losses as ""nonrecurring.""  Lay also falsely stated that ""in connection with the early termination, shareholders' equity will be reduced by approximately $1.2 billion.""  Lay and Causey did not disclose that the vehicles unwound (as part of the $1 billion charge) were the Raptors nor disclose that the $1.2 billion equity reduction was principally due to a significant accounting error. In the same call, Lay made false and misleading statements regarding the valuation of Enron's international assets.  In response to questions regarding the value of Elektro, a Brazilian power plant, which Enron carried on its books in excess of $2 billion, Lay stated that ""[w]e may well have that asset and operate that asset for quite some time.  It's not a bad asset, it's a good asset, just like a lot of the other assets in this portfolio.""  This statement was misleading, in that Lay knew that Elektro was overvalued by as much as $1 billion and classified internally as a ""troubled"" asset. Lay further stated that Enron ""and its outside auditors have recently completed our preliminary evaluation of goodwill.""  Lay represented that, based upon that review, ""up to $200 million goodwill adjustment may be necessary, and will be recorded as required by the accounting principles in the first quarter of 2002.""  In fact, as Lay knew, the adjustment did not include the impaired Wessex goodwill of approximately $700 million and Enron's auditors had not completed even a preliminary evaluation of goodwill. Lay and other senior Enron managers hosted a series of meetings with analysts and large institutional investors after the announcement of Enron's third quarter earnings results. In these meetings, Lay and the senior managers falsely and misleadingly portrayed EES as rapidly increasing in profitability, quarter to quarter and year to year.  Lay additionally distributed materials at the meetings that falsely and misleadingly described the value of Enron's international portfolio as $6.5 billion, when Lay knew this figure vastly overstated the true value of the international assets by billions of dollars."
"October 23, 2001 Analyst Call","In an effort to calm deepening public concern regarding the decline in Enron's stock price, Lay and Causey prepared for and participated in an Enron analyst conference call on October 23, 2001.  In that call, Lay made the following false and misleading statements: ""[we're] not trying to conceal anything.  We're not hiding anything,"" ""[w]e're really trying to make sure that the analysts and the shareholders and the debt holders really know what's going on here.  So, we are not trying to hold anything back,"" and ""I'm disclosing everything we've found.""  In response to questioning, Lay again falsely stated that the $1.2 billion reduction to shareholder equity was a result of ""unwinding"" certain vehicles, failing to disclose that the cause of the equity write-down was principally due to a massive accounting error."
"October 23, 2001 Employee Meeting","By October 2001, in addition to other problems known to Lay as described above, Lay knew that Enron had serious liquidity issues.  Lay knew that Enron had been forced to offer its prized pipelines as collateral for a $1 billion bank loan.  He also knew that the only source of liquidity was a $3 billion bank line of credit, which, if drawn, would highlight Enron's worsening financial situation.  Despite this knowledge, on October 23, 2001, Lay made false and misleading statements to his employees during an all-employee meeting.  Lay falsely stated, ""[o]ur liquidity is fine.  As a matter of fact, it's better than fine, it's strong. . .""  Three days later, Lay authorized the draw-down of the entire $3 billion line of credit. Lay also made misleading statements about Enron stock and its prospects.  Lay misleadingly stated, ""as sad as the current market price is - and I've certainly lost a substantial portion of my net worth and my family's net worth - at current prices the market value [of Enron] is about $17 or $18 billion.  It was $2 billion when we started in '85.  But I also know that many of you who were a lot wealthier six to nine months ago are now concerned about the college education for your kids, maybe the mortgage on your house, maybe your retirement . . . But we're going to get it back.""  Lay also stated that he thought a fair price for Enron stock was in the $50-$60 range and ""that doesn't mean we can't get back up to the $80s or $90s in the no- too-distant future.""  At the time, Enron stock was trading at approximately $19.79 per share.  Lay did not disclose that he had substantially reduced his personal exposure to the declining stock price, having sold over $65 million of Enron stock in 2001.  Lay also knew, and failed to disclose, that he had no reasonable basis to forecast an increase in Enron's stock price."
"November 12, 2001 Analyst Call","Lay participated in an analyst conference call with analysts on November 12, 2001.  During the call, Lay made the following false and misleading statements: ""We don't have anything we're trying to hide . . . I'm disclosing everything we've found.""  Lay failed to disclose all of the negative information about Enron that he was well aware of by this point in time."
Collapse of Scheme,"For a time, the scheme to defraud succeeded and supported Enron's stock price and its credit rating.  In early 1998, Enron's stock traded at approximately $30 per share.  By January 2001, even after a 1999 stock split, Enron's stock had risen to over $80 per share and Enron had become the seventh-ranked company in the United States, according to the leading index of the ""Fortune 500.""  Until late 2001, Enron maintained an investment-grade credit rating. However, the scheme quickly collapsed after Enron's announcement on October 16, 2001 revealed enormous losses.  On October 22, 2001, Enron announced that it was the subject of an SEC investigation.  The next day, Lay authorized Enron to enter into merger discussions with Dynegy, Inc.  On October 29 and November 1, 2001, the two leading credit rating agencies downgraded Enron's credit rating.  On November 8, 2001, Enron announced its intention to restate its financial statements for 1997 through 2000 and the first and second quarters of 2001 to reduce previously reported net income by an aggregate of $586 million.  On November 9, 2001, Enron filed an 8-K with a merger agreement signed by Lay announcing a merger between Enron and Dynegy, which falsely stated, among other things, that Enron's prior public filings were true and accurate.  On November 21, 2001, Enron's credit rating was downgraded to ""junk"" status. On December 2, 2001, Enron filed for bankruptcy, making its stock, which was trading at over $80 per share less than a year earlier, virtually worthless."
False and Misleading Filings With The SEC,"In furtherance of the scheme to manipulate Enron's financial results and inflate its stock price, Lay, Skilling, Causey, and others filed and caused to be filed with the SEC false and misleading reports of Enron, including: Annual and Quarterly Reports Form 10-Q for the Third Quarter 1999 (filed on or about November 15, 1999); Form 10-K for the Fiscal Year 1999 (filed on or about March 30, 2000); Form 10-Q for the First Quarter 2000 (filed on or about May 15, 2000); Form 10-Q for the Second Quarter 2000 (filed on or about August 14, 2000); Form 10-Q for the Third Quarter 2000 (filed on or about November 14, 2000); Form 10-K for Fiscal Year 2000 (filed on or about April 2, 2001); Form 10-Q for the First Quarter 2001 (filed on or about May 15, 2001); Form 10-Q for the Second Quarter 2001 (filed on or about August 14, 2001) Registration Statements Form S-3 filed on or about April 4, 2000; Form S-3 filed on or about June 15, 2000; Form S-3 filed on or about July 19, 2000; Form S-3 filed on or about January 26, 2001; and Form S-3 filed on or about June 1, 2001 and Amendment dated July 13, 2001 Other Form 8-K dated November 9, 2001 The reports caused to be filed by Lay, Skilling, Causey, contained, among other things, materially false and misleading financial statements that overstated Enron's actual revenues and earnings, understated Enron's actual debt and expenses, and contained materially false and misleading management descriptions and analysis of Enron's business."
Defendants' Illegal Gains,"As officers and/or directors of Enron, Lay, Skilling, and Causey each owed a fiduciary duty to Enron and its shareholders to act solely in the best interests of Enron and its shareholders.  Lay, Skilling, and Causey also signed employment and/or consulting agreements with Enron in which each acknowledged this fiduciary duty and agreed that each owed a duty of trust and confidence to Enron, and that personal use of confidential information of Enron was prohibited.  The employment and/or consulting agreements signed by Lay, Skilling, and Causey were in effect during the time period relevant to the Second Amended Complaint. Lay, Skilling, Causey, and others made illegal gains from the scheme to defraud in the form of salary, bonuses, and other forms of compensation.  During 2001, Lay received a salary of $1 million, a bonus of $7 million, and $3.6 million in long term incentive payments, all proceeds of the scheme to defraud.  Between 1998 and 2001, Skilling received at least $14 million in salary and bonuses, all proceeds of the scheme to defraud.  Between 1998 and 2001, Causey received more than $4 million in salary and bonuses, all proceeds of the scheme to defraud.  Moreover, as detailed below, the defendants and others also made additional illegal gains by selling large amounts of Enron stock at the inflated prices they engineered. Defendants' trading in Enron stock also occurred while they were in possession of material non-public information, including information about Enron's actual financial position and the performance of its business units as described above, that the stock price was inflated, and that Enron and its executives and senior managers, including defendants, had supplied and were continuing to supply materially false and misleading information to the investing public, including, but not limited to, Enron's publicly reported financial results and public statements of Enron's executives and senior managers.  Defendants knew or were reckless in not knowing that the information they possessed was confidential and that trading while in possession of that information was a breach of a fiduciary duty or similar relationship of trust and confidence that they owed to Enron and its shareholders. By selling shares of Enron stock at the market price, defendants represented that the market price was a reliable way to value their shares, vouching for the integrity of Enron's financial statements and the public statements they and others made about Enron's financial condition.  This representation was false and misleading as the market price was not a reliable indicator of value because that price had been materially distorted by defendants' release of inaccurate information.  Defendants intended that Enron and the market rely on the accuracy of the stock market price as a fair way to value their shares.  A true picture of Enron as of the dates of defendants' stock sales was far different than that represented in Enron's financial reports and defendants' public statements, leading defendants to receive unduly excessive value for their Enron shares."
Lay's Illegal Gains From Sales Of Enron Stock,"Lay profited from the scheme to defraud, in part, by selling large amounts of Enron stock at prices that did not reflect the true value of Enron stock.  In 2001, Lay sold over $70 million in Enron stock to repay cash advances on an unsecured Enron line of credit.  In addition, Lay amended two preexisting program trading plans to enable him to sell an additional $20 million in Enron stock.  Lay's gains and losses avoided from the sales constitute illegal gains resulting from the scheme to defraud."
Lay's Sales Of Enron Stock Back To Enron,"Lay's unsecured line of credit allowed him to borrow up to $4 million (later increased to $7.5 million) directly from Enron.  In May 1999, at Lay's request, Enron permitted Lay to repay amounts due on the line of credit in shares of Enron stock, to be valued at the closing price on the date he gave notice of his intent to repay.  Lay preferred this method of repayment because, among other things, he could avoid disclosure of his stock sales at the time the sales occurred.  All repayments by Lay were through sales of Enron stock to the company. From January 25, 2001 to November 27, 2001, Lay took advances on his line of credit in the total amount of $77,525,000.  Thereafter, despite having other assets at his disposal, Lay repaid balances on the line of credit by selling $70,104,762 worth of Enron stock to the company twenty times, at prices he knew did not reflect accurately Enron's true financial condition.  For example, after learning of Enron's undisclosed plan to hide over $500 million in EES losses in ENA, Lay sold 1,086,571 shares of Enron common stock back to the company, in 11 transactions, for a total of $34,081,558.  Following Skilling's resignation on August 14, 2001, at a point when Lay was learning more about Enron's deteriorating financial condition, Lay sold 918,104 shares of Enron common stock back to the company, in five transactions, totaling $26,066,474.  As Lay learned more negative information following Enron's third quarter earnings release on October 16, 2001, Lay sold 362,051 shares of Enron stock back to the company, in four transactions, totaling $6,050,232.  The transactions executed by Lay are set forth in the attached table, and incorporated as if fully set forth here. Lay's sales of Enron stock were not reported by Lay to the SEC on a Form 5 or otherwise revealed publicly until February 2002, over two months after Enron filed for bankruptcy protection. Had Lay disclosed the substantial sales of his Enron stock at the time the sales occurred, this fact would have had a significant detrimental impact on the share price of Enron stock.  By avoiding public disclosure of his stock sales, and even giving the impression to his employees and others that he was buying Enron stock, Lay was able to use artificially priced Enron shares to reduce his line of credit balance and avoid significant losses that he would have suffered had he retained his Enron shares. In addition to the benefit Lay obtained from the Enron stock sales at inflated prices, Lay took advances on his line of credit in the amount of $7.5 million, an amount drawn in six advances between October 24 and November 27, 2001, while he knew Enron's financial condition was crumbling. "
Lay's Sales Of Enron Stock Pursuant To Amended 10b5-1 Plan,"Under Rule 10b5-1 of the Exchange Act, if a stock trading plan is entered into by a person before he becomes aware of material non-public information, such a plan can provide an affirmative defense to insider trading.  However, any amendment to a plan is considered a new plan, and no affirmative defense is available if the amendment occurs after becoming aware of material non-public information. On November 1, 2000, Lay established two program sales plans pursuant to Rule 10b5-1 of the Exchange Act.  One plan was for Lay and his wife (the ""Lay Plan"") and the other plan was for a family partnership (the ""Partnership Plan"").  Under the Lay Plan, Lay could sell 3,534 shares of Enron stock every trading day at the market price from November 1, 2000 through January 31, 2001 and 1,500 shares every trading day from February 1, 2001 through January 31, 2002.  Under the Partnership Plan, Lay could sell 500 Enron shares each trading day from November 1, 2000 through January 31, 2002. On February 1, 2001, Lay amended the Lay Plan, increasing the sales to 2,500 shares each day.  On May 1, 2001, Lay amended the Partnership Plan, increasing the sales to 1,000 shares each day.  Lay terminated both plans effective July 31, 2001. At the time Lay amended both plans he was in possession of material non-public information concerning Enron as described above. Thus, Lay cannot use the affirmative defense provided under Rule 10b5-1. From February 1, 2001 through the termination date of July 31, 2001, under the Lay Plan, Lay sold 295,000 Enron shares at prices ranging from $43.66 to $80.81, for total proceeds of approximately $17,329,630.  From May 1, 2001 through the termination date of July 31, 2001, under the Partnership Plan, Lay sold 64,000 shares at prices ranging from $43.65 to $63.07, for total proceeds of $3,278,510.  The transactions executed by Lay are set forth in the attached table and incorporated as if fully set forth here."
Skilling's Illegal Gains From Sales Of Enron Stock,"Skilling sold shares of Enron stock that generated total proceeds of $62,626,401.90 as follows: Trade Date Shares Sale Price(s) Gross Proceeds A April 25, 2000 10,000 $73.875 $73.9375 $738,893.75 B April 26, 2000 86,217 $74.00 $73.875 $72.50 $6,338,183.00 C August 30, 2000 15,000 $86.125 $1,291,875.00 D September 1, 2000 60,000 $87.00 $86.875 $87.25 $5,220,000.00 E September 5, 2000 11,441 $85.00 $972,485.00 F November 1, 2000 72,600 $83.2406 $83.0625 $6,041,023.50 G November 2, 2000 20,000 $82.3381 $1,646,762.00 H November 7, 2000 46,068 $82.5872 $3,804,627.13 I November 15, 2000- June 19, 2001 10,000 per week, 31 weeks per sales plan $84.00 to $49.90 $20,985,247.42 J September 17, 2001 500,000 $31.5061 $31.0822 $15,587,305.10 "
Causey's Illegal Gains From Sales Of Enron Stock,"Causey sold shares of Enron stock and generated total proceeds of $10,316,807.83 as follows: Trade Date Shares Sale Price(s) Gross Proceeds A January 21, 2000 45,000 $72.00 $71.00 $3,220,000.00 B September 28, 2000 80,753 $87.8829 $7,096,807.83"
False And Misleading Statements To Enron's Accountants,"On or about the dates set forth below, Skilling, Causey, and others, while agreeing that they were ""responsible for the fair presentation of the financial statements,"" falsely represented to Enron's accountants that, among other things, (a) the statements and representations made in Enron's financial statements were true; (b) Enron properly recorded or disclosed in its financial statements all agreements to repurchase assets previously sold; (c) Enron properly recorded or disclosed in its financial statements guarantees, whether written or oral, under which Enron was contingently liable; (d) Enron's unaudited quarterly financial data fairly summarized, among other things, the operating revenues, net income and per share data based upon that income for each quarter; (e) there was no material fraud or any other irregularities that, although not material, involved management or other employees who had a significant role in Enron's system of internal control, or fraud involving other employees that could have a material effect on the financial statements; (f) there were no material liabilities or gain or loss contingencies (including those that might exist relating to oral guarantees) that were required to be disclosed in accordance with SFAS No. 5; (g) all related-party transactions, including sales, were properly recorded and disclosed; (h) no events occurred subsequent to the balance sheet date that had a material effect on the financial statements and that should have been disclosed in order to keep those financial statements from being misleading; (i) Enron made available to the accountants all financial records and related data; (j) Enron's system of internal controls was adequate and had no significant deficiencies; and (k) the accounting records underlying Enron's financial statements accurately and fairly reflected, in reasonable detail, the transactions of Enron, well knowing that these statements were false.  Skilling, Causey, and others made the false representations in representation letters to Enron's accountants as follows: Count Defendant(s) Date Statement to Auditors A JEFFREY K. SKILLING RICHARD A. CAUSEY March 13, 2000 Annual Representation Letter in Connection with Enron Form 10-K for Year 1999 B JEFFREY K. SKILLING RICHARD A CAUSEY May 12, 2000 Quarterly Representation Letter in Connection with Enron Form 10-Q for First Quarter 2000 C JEFFREY K. SKILLING RICHARD A. CAUSEY August 11, 2000 Quarterly Representation Letter in Connection with Enron Form 10-Q for Second Quarter 2000 D JEFFREY K. SKILLING RICHARD A. CAUSEY November 13, 2000 Quarterly Representation Letter in Connection with Enron Form 10-Q for Third Quarter 2000 E JEFFREY K. SKILLING RICHARD A. CAUSEY February 23, 2001 Annual Representation Letter in Connection with Enron Form 10-K for Year 2000 F JEFFREY K. SKILLING RICHARD A. CAUSEY May 15, 2001 Quarterly Representation Letter in Connection with Enron Form 10-Q for First Quarter 2001 G RICHARD A. CAUSEY August 14, 2001 Quarterly Representation Letter in Connection with Enron Form 10-Q for Second Quarter 2001"
Violations of Section 10(b) of the Exchange Act [15 U.S.C. § 78j(b)] and Exchange Act Rule 10b-5 [17 C.F.R. § 240.10b-5] (All Defendants),"Paragraphs 1 through 114 are realleged and incorporated by reference herein. As set forth more fully above, Lay, Skilling, and Causey, directly or indirectly, by use of the means or instrumentalities of interstate commerce, or by the use of the mails and of the facilities of a national securities exchange, in connection with the purchase or sale of securities: have employed devices, schemes, or artifices to defraud, have made untrue statements of material facts or omitted to state material facts necessary in order to make the statements made, in the light of the circumstances under which they were made, not misleading, or have engaged in acts, practices, or courses of business which operate or would operate as a fraud or deceit upon any person. By reason of the foregoing, Lay, Skilling, and Causey violated and aided and abetted violations of Section 10(b) of the Exchange Act [15 U.S.C. § 78j(b)], and Rule 10b-5 thereunder [17 C.F.R. § 240.10b-5]. "
Violations of Section 17(a) of the Securities Act [15 U.S.C. § 77q(a)] (Lay),"Paragraphs 1 through 117 are realleged and incorporated by reference herein. Lay, by engaging in the conduct described above, directly or indirectly, in connection with the offer or sale of securities, by the use of the means or instruments of transportation or communication in interstate commerce or by the use of the mails: with scienter, employed devices, schemes, or artifices to defraud, obtained money or property by means of untrue statements of material facts or omissions to state material facts necessary in order to make the statements made, in the light of the circumstances under which they were made, not misleading, or engaged in acts, practices, or courses of business which operate or would operate as a fraud or deceit upon the purchasers of such securities. By reason of the foregoing, Lay violated Section 17(a) of the Securities Act. "
"Violations of Section 13(a) of the Exchange Act [15 U.S.C. § 78m(a)] (All Defendants) and Exchange Act Rules 12b-20 (All Defendants), 13a-1 (Causey & Skilling), 13a-11 (Lay), and 13a-13 (Causey) [17 C.F.R. §§ 240.12b-20, 240.13a-1, 240.13a-11, 240.13a-13]","Paragraphs 1 through 120 are realleged and incorporated by reference herein. By engaging in the conduct described above, Lay, Skilling, and Causey knowingly and substantially caused Enron to file materially false and misleading reports and filings with the Commission. By reason of the foregoing, Lay, Skilling, and Causey aided and abetted violations by Enron of Section 13(a) of the Exchange Act and Exchange Act Rules 12b-20, 13a-1 (Causey and Skilling), 13a-11 (Lay), and 13a-13 (Causey). "
"Violations of Sections 13(b)(2)(A) and 13(b)(2)(B) of the Exchange Act [15 U.S.C. §§ 78m(b)(2)(A), 78m(b)(2)(B)] and Exchange Act Rule 13b2-1 [17 C.F.R. § 240.13b2-1] (All Defendants)","Paragraphs 1 through 123 are realleged and incorporated by reference herein. By engaging in the conduct described above, Lay, Skilling, and Causey aided and abetted Enron's failures to make and keep books, records and accounts which, in reasonable detail, accurately and fairly reflected Enron's transactions and dispositions of its assets, in violation of Section 13(b)(2)(A) of the Exchange Act, and further aided and abetted failures to devise and maintain a system of internal accounting controls sufficient to provide reasonable assurances that Enron's corporate transactions were executed in accordance with management's authorization and in a manner to permit the preparation of financial statements in conformity with Generally Accepted Accounting Principles in violation of Section 13(b)(2)(B) of the Exchange Act. By engaging in the conduct described above, Lay, Skilling, and Causey, directly or indirectly, falsified and caused to be falsified Enron's books, records, and accounts subject to Section 13(b)(2)(A) of the Exchange Act in violation of Exchange Act Rule 13b2-1. By reason of the foregoing, Skilling and Causey aided and abetted violations of Sections 13(b)(2)(A) and 13(b)(2)(B) of the Exchange Act and violated Exchange Act Rule 13b2-1. "
Violations of Section 13(b)(5) of the Exchange Act [15 U.S.C. § 78m(b)(5)] (Skilling/Causey),"Paragraphs 1 through 127 are realleged and incorporated by reference herein. By engaging in the conduct described above, Skilling and Causey knowingly circumvented or knowingly failed to implement a system of internal financial controls at Enron, and knowingly falsified books, records, and accounts of Enron. By reason of the foregoing, Skilling and Causey violated and aided and abetted violations of Section 13(b)(5) of the Exchange Act. "
Violations of Exchange Act Rule 13b2-2 [17 C.F.R. § 240.13b2-2] (Skilling/Causey),"Paragraphs 1 through 130 are realleged and incorporated by reference herein. By engaging in the conduct described above, Skilling and Causey, directly or indirectly, made or caused to be made false and misleading statements or omitted or caused others to omit to state material facts necessary in order to make statements made, in light of the circumstances under which such statements were made, not misleading to Enron's independent accountants and Enron's auditors in connection with audits and examinations of Enron's required financial statements and in connection with the preparation and filing of documents and reports required to be filed with the Commission, in violation of Exchange Act Rule 13b2-2. By reason of the foregoing, Skilling and Causey violated and aided and abetted violations of the Exchange Act Rule 13b2-2. "
